Could not connect to 56366 on 2
Could not connect to 56365 on 1
The Order server is running on port: 56367
Order received for toy: Horse and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Dog and for quantity: 1
buyOrder : Cannot connect to replica:  56365
Order received for toy: Elephant and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Dog and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Elephant and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Tux and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Horse and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Python and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Giraffe and for quantity: 1
Order received for toy: Leopard and for quantity: 1
Order received for toy: Whale and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Fox and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Zebra and for quantity: 1
Order received for toy: Bear and for quantity: 1
Order received for toy: Tiger and for quantity: 1
Order received for toy: Dolphin and for quantity: 1
Order received for toy: Eagle and for quantity: 1
Order received for toy: Lion and for quantity: 1
Order received for toy: Elephant and for quantity: 1
